S.No,District,Indigenous Cases till 31.03.2021,Indigenous Cases on 01.04.2021,Imported Cases till 31.03.2021,Imported Cases on 01.04.2021,Total Cases till 01.04.2021
1,Ariyalur,4794,6,20,0,4820
2,Chengalpattu,56339,258,5,0,56602
3,Chennai,248870,1083,47,0,250000
4,Coimbatore,58916,280,51,0,59247
5,Cuddalore,25505,39,202,0,25746
6,Dharmapuri,6567,2,214,0,6783
7,Dindigul,11803,26,77,0,11906
8,Erode,15254,36,94,0,15384
9,Kallakurichi,10547,10,404,0,10961
10,Kancheepuram,30586,115,3,0,30704
11,Kanniyakumari,17421,31,116,0,17568
12,Karur,5602,10,46,0,5658
13,Krishnagiri,8297,28,174,0,8499
14,Madurai,21649,48,162,0,21859
15,Nagapattinam,9076,48,89,0,9213
16,Namakkal,12004,21,106,0,12131
17,Nilgiris,8644,20,22,0,8686
18,Perambalur,2305,1,2,0,2308
19,Pudukkottai,11841,17,33,0,11891
20,Ramanathapuram,6421,7,134,0,6562
21,Ranipet,16426,15,49,0,16490
22,Salem,33068,51,420,0,33539
23,Sivaganga,6931,17,68,0,7016
24,Tenkasi,8659,14,58,0,8731
25,Thanjavur,19721,113,22,0,19856
26,Theni,17254,13,45,0,17312
27,Thoothukudi,16281,17,273,0,16571
28,Tiruchirappalli,15573,66,45,0,15684
29,Tirunelveli,15675,60,421,0,16156
30,Tirupathur,7691,15,115,0,7821
31,Tiruppur,19313,60,11,0,19384
32,Tiruvallur,46055,158,10,0,46223
33,Tiruvannamalai,19302,10,394,0,19706
34,Tiruvarur,11975,51,38,0,12064
35,Vellore,20991,34,504,3,21532
36,Villupuram,15336,23,174,0,15533
37,Virudhunagar,16771,10,104,0,16885
38,Airport Surveillance (International),0,0,974,0,974
39,Airport Surveillance (Domestic),0,0,1056,1,1057
40,Railway Surveillance,0,0,428,0,428
Total,Grand Total,879463,2813,7210,4,889490
