S.No,District,Total Positive Cases as on 02.04.2021,Discharged Cases as on 02.04.2021,Active Cases as on 02.04.2021,Death Cases as on 02.04.2021
1,Ariyalur,4829,4742,38,49
2,Chengalpattu,56891,54123,1948,820
3,Chennai,251141,239724,7161,4256
4,Coimbatore,59529,56972,1863,694
5,Cuddalore,25805,25194,319,292
6,Dharmapuri,6789,6682,52,55
7,Dindigul,11955,11558,195,202
8,Erode,15425,15062,213,150
9,Kallakurichi,10973,10836,29,108
10,Kancheepuram,30818,29844,513,461
11,Kanniyakumari,17609,17112,233,264
12,Karur,5670,5553,65,52
13,Krishnagiri,8546,8233,194,119
14,Madurai,21964,21108,390,466
15,Nagapattinam,9271,8741,388,142
16,Namakkal,12149,11880,158,111
17,Nilgiris,8708,8514,144,50
18,Perambalur,2309,2281,7,21
19,Pudukkottai,11910,11634,116,160
20,Ramanathapuram,6575,6387,50,138
21,Ranipet,16517,16165,162,190
22,Salem,33590,32819,303,468
23,Sivaganga,7045,6780,138,127
24,Tenkasi,8749,8483,104,162
25,Thanjavur,19976,19065,639,272
26,Theni,17322,17055,60,207
27,Thoothukudi,16592,16314,135,143
28,Tiruchirappalli,15811,15145,480,186
29,Tirunelveli,16236,15725,295,216
30,Tirupathur,7846,7616,102,128
31,Tiruppur,19465,18801,438,226
32,Tiruvallur,46416,44955,748,713
33,Tiruvannamalai,19726,19357,83,286
34,Tiruvarur,12136,11597,424,115
35,Vellore,21569,20996,219,354
36,Villupuram,15561,15314,134,113
37,Virudhunagar,16897,16617,48,232
38,Airport Surveillance (International),975,966,8,1
39,Airport Surveillance (Domestic),1057,1046,10,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,892780,861424,18606,12750
