S.No,District,Total Positive Cases as on 11.04.2021,Discharged Cases as on 11.04.2021,Active Cases as on 11.04.2021,Death Cases as on 11.04.2021
1,Ariyalur,4933,4785,99,49
2,Chengalpattu,60792,56170,3778,844
3,Chennai,265126,245041,15761,4324
4,Coimbatore,63197,58447,4051,699
5,Cuddalore,26559,25537,730,292
6,Dharmapuri,7060,6731,274,55
7,Dindigul,12448,11768,477,203
8,Erode,15940,15273,517,150
9,Kallakurichi,11142,10854,180,108
10,Kancheepuram,31943,30446,1030,467
11,Kanniyakumari,18082,17315,502,265
12,Karur,5868,5635,181,52
13,Krishnagiri,9156,8459,578,119
14,Madurai,22986,21339,1176,471
15,Nagapattinam,10174,9131,895,148
16,Namakkal,12532,12055,366,111
17,Nilgiris,8937,8666,220,51
18,Perambalur,2346,2295,29,22
19,Pudukkottai,12164,11766,238,160
20,Ramanathapuram,6741,6425,178,138
21,Ranipet,16959,16316,453,190
22,Salem,34460,33196,793,471
23,Sivaganga,7338,6911,299,128
24,Tenkasi,9012,8556,294,162
25,Thanjavur,21158,19848,1029,281
26,Theni,17548,17124,217,207
27,Thoothukudi,17099,16432,523,144
28,Tiruchirappalli,17134,15665,1279,190
29,Tirunelveli,16940,15982,741,217
30,Tirupathur,8027,7735,164,128
31,Tiruppur,20639,19304,1106,229
32,Tiruvallur,48200,45898,1579,723
33,Tiruvannamalai,20194,19485,421,288
34,Tiruvarur,12818,12095,607,116
35,Vellore,22201,21272,572,357
36,Villupuram,15952,15474,365,113
37,Virudhunagar,17152,16695,223,234
38,Airport Surveillance (International),990,966,23,1
39,Airport Surveillance (Domestic),1059,1051,7,1
40,Railway Surveillance,428,428,0,0
Total,Grand Total,933434,878571,41955,12908
